Frame	X1	Y1	Flag1	X2	Y2	Flag2
Tracks 1 to 2
135	532.5	331.5	*	494.2	338.6	*
136	533.75	332.25	*	495.4091	338.5909	*
137	535.1316	332.71054	*	496.71054	338.8684	*
138	536.5	333.5	*	497.85	339.15	*
139	537.75	334.25	*	499.1316	339.28946	*
140	539.15	334.85	*	500.5	339.5	*
141	540.5	335.5	*	501.5	339.5	*
142	541.5	336.5	*	502.71054	339.5	*
143	542.9737	337.1316	*	504.1316	339.71054	*
144	544.2895	337.8684	*	505.27777	340.0	*
145	545.5	338.5	*	506.6111	340.22223	*
146	546.7381	339.11905	*	507.83334	340.16666	*
147	548.1316	339.71054	*	509.07895	340.39474	*
148	549.4	340.45	*	510.28946	340.5	 
149	550.5	341.28946	*	511.5	340.5	 
150	551.6	341.55	*	512.6	340.55	 
151	552.8	342.4	*	513.75	340.75	 
152	554.25	343.25	*	515.2619	340.88095	 
153	555.25	343.75	*	516.2895	341.1316	 
154	556.5	344.5	*	517.75	341.25	 
155	557.7222	345.0	*	518.75	341.25	 
156	558.7105	345.5	*	520.0	341.3	 
157	559.8684	346.28946	*	521.2895	341.5	 
158	561.1316	346.71054	*	522.5	341.5	 
159	562.2895	347.5	*	523.55	341.6	 
160	563.2895	348.1316	*	524.7778	341.6111	 
161	564.5	348.5	*	526.2	341.6	 
162	565.6	349.45	*	527.4	341.55	 
163	566.75	349.75	*	528.5	341.5	 
164	567.8	350.4	*	529.6579	341.6579	 
165	568.7	351.0	*	530.8684	341.71054	 
166	569.8	351.6	*	532.1316	341.71054	 
167	571.1316	352.28946	*	533.25	341.75	 
168	572.1316	352.71054	*	534.6111	341.77777	 
169	573.1316	353.28946	*	535.7632	341.8684	 
170	574.25	353.75	*	537.0	341.72223	 
171	575.4	354.45	*	538.2619	341.88095	 
172	576.25	354.75	*	539.2895	341.8684	 
173	577.4	355.45	*	540.7105	341.8684	 
174	578.25	355.75	*	541.75	341.75	 
175	579.4	356.45	*	543.1316	341.76315	 
176	580.25	356.75	*	544.25	341.75	 
177	581.4	357.45	*	545.5	341.5	 
178	582.25	357.75	*	546.6579	341.6579	 
179	583.4	358.45	*	547.8684	341.71054	 
180	584.25	358.75	*	549.1316	341.71054	 
181	585.25	359.25	*	550.25	341.75	 
182	586.2	359.6	*	551.5	341.5	 
183	587.2895	360.1316	*	552.6	341.55	 
184	588.2	360.6	*	553.7105	341.5	 
185	589.15	360.85	*	555.0	341.5	 
186	590.1316	361.28946	*	556.3095	341.35715	 
187	590.8684	361.71054	*	557.5	341.5	 
188	591.75	362.25	*	558.6579	341.3421	 
189	592.6	362.45	*	559.8684	341.28946	 
190	593.7105	362.8684	*	561.25	341.25	 
191	594.55	363.4	*	562.2895	341.1316	 
192	595.5	363.5	*	563.7105	340.8684	 
193	596.3	364.0	*	564.75	340.75	 
194	597.4	364.45	*	566.1316	340.71054	 
195	598.2	364.6	*	567.4	340.55	 
196	599.15	364.85	*	568.5	340.5	 
197	599.8684	365.28946	*	569.6905	340.35715	 
198	600.7105	365.5	*	570.8684	340.28946	 
199	601.75	365.75	*	572.2895	340.1316	 
200	602.6111	366.22223	*	573.2895	339.8684	 
201	603.5	366.5	*	574.6579	339.6579	 
202	604.4	366.55	*	575.7105	339.5	 
203	605.2619	366.88095	*	577.2	339.6	 
204	606.0	367.27777	*	578.5	339.5	 
205	606.8684	367.28946	*	579.6579	339.3421	 
206	607.6905	367.64285	*	580.7	339.0	 
207	608.5	367.5	*	582.1316	338.71054	 
208	609.4	368.05	*	583.4091	338.5909	 
209	610.25	368.25	*	584.5	338.5	 
210	611.2	368.4	*	585.75	338.25	 
211	611.9286	368.40475	*	587.1316	338.28946	 
212	612.6579	368.6579	*	588.2895	338.1316	 
213	613.6111	368.77777	*	589.6	337.55	 
214	614.2895	369.1316	*	590.7105	337.5	 
215	615.25	369.25	*	592.2895	337.5	 
216	616.1316	369.28946	*	593.3889	337.22223	 
217	616.8684	369.28946	*	594.7105	336.8684	 
218	617.6	369.45	*	596.0	336.7	 
219	618.5	369.5	*	597.2	336.4	 
220	619.5	369.5	*	598.5	336.5	 
221	620.1316	369.71054	*	599.7	336.0	 
222	621.0	369.7	*	601.1316	335.71054	 
223	621.75	369.75	*	602.5	335.5	 
224	622.6579	369.6579	*	603.6905	335.35715	 
225	623.5	369.71054	*	605.0	335.27777	 
226	624.2895	369.8684	*	606.3421	334.6579	 
227	625.1111	369.83334	*	607.5	334.5	 
228	625.75	369.75	*	609.0	334.27777	 
229	626.75	369.75	*	610.2895	334.1316	 
230	627.45	369.6	*	611.5	333.71054	 
231	628.25	369.75	*	612.7105	333.5	 
232	629.1316	369.71054	*	614.3095	333.35715	 
233	629.85	369.5	*	615.7	333.0	 
234	630.6	369.55	*	616.8684	332.71054	 
235	631.5	369.5	*	618.2895	332.5	 
236	632.5	369.5	*	619.55	332.4	 
237	633.4	369.45	*	620.75	331.75	 
238	634.0	369.27777	*	622.3095	331.64285	 
239	634.7381	369.11905	*	623.5	331.5	 
240	635.7105	368.8684	*	624.85	331.15	 
241	636.45	368.6	*	626.25	330.75	 
242	637.55	368.6	*	627.5	330.5	 
243	638.2895	368.5	*	629.0	330.27777	 
244	638.8684	368.28946	*	630.3421	329.6579	 
245	639.7381	368.11905	*	631.7105	329.5	 
246	640.6	367.8	*	633.1316	329.28946	 
247	641.5	367.5	*	634.6177	328.91177	 
248	642.5	367.5	*	635.85	328.5	 
249	643.3095	367.35715	*	637.4	328.45	 

Track 	Length	Distance traveled	Nr of Frames
1	395.1548	386.7383	249
2	356.1093	349.97873	249
